urn:cts:greekLit:tlg0012.tlg001.hmt01:10.1	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="1"> Alongside the ships the other best <note>aristos</note> men of the Panachaeans</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.14	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="14"> And then when he looked at the ships and the Achaean warriors,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.15	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="15"> over and over he tore hair from his head by the roots </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.16	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="16"> to Zeus on high, and he groaned greatly in his glorious <note>kudos</note> heart.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.17	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="17"> This is the plan that seemed best <note>aristos</note> to his liking<note>thumos</note>,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.18	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="18"> to go first to Nestor first among the men, the descendant of Neleus,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.19	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="19"> to find out if he could construct a faultless scheme <note>mêtis</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.20	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="20"> which might ward off evil for all the Danaans. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.21	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="21"> Standing up he put on a khiton around his chest,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.22	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="22"> and under his shining feet he fastened fine sandals,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.23	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="23"> and then around himself he put on the red-gold skin of a lion</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.24	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="24"> that was big and tawny—the skin reached all the way to his feet—and he took a spear.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.25	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="25"> In much the same way trembling held Menelaos—not for him either </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.26	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="26"> did sleep sit on the eyelids—for fear that something would happen to </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.27	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="27"> the Argives, those who for his sake over much water </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.28	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="28"> had come to Troy, pondering bold war.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.29	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="29"> First he wrapped his broad back in a leopard skin</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.30	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="30"> that was intricately patterned <note>poikilos</note>, and then he took up a helmet and onhis head </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.31	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="31"> he placed it, it was bronze, and then he took a spear in his mighty hand.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.32	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="32"> He set out to go and get his brother up, who greatly over all</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.33	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="33"> the Argives was lord, and who was honored like a god by his people <note>dêmos</note>.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.34	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="34"> He found him putting the fine war gear around his shoulders</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.35	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="35"> next to the stern of the ship, and his coming was welcome to him.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.36	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="36"> Menelaos well-known for <note>agathos</note> his battle-cry addressed him first,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.37	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="37"> “Why ever, dear brother, are you arming yourself like this? Is there some one of ourcomrades</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.38	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="38"> that you will urge on to spy against the Trojans? But I am terribly</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.39	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="39"> afraid that no one will undertake this task,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.40	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="40"> to spy on enemy men, going out alone </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.41	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="41"> through the ambrosial night. He is going to have to be especially bold-hearted.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.42	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="42"> The ruler Agamemnon answered him and said,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.43	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="43"> “We have need of a plan, you and I, Menelaos nurtured by the gods,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.44	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="44"> a wily plan that will protect and save <note>sôzô</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.45	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="45"> the Argives and the ships, since the intentions <note>phrên</note> of Zeus have turned. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.46	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="46"> I see that he paid more attention <note>phrên</note> to the sacrifices of Hektor.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.47	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="47"> For I have not ever seen myself or ever heard anyone tell about</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.48	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="48"> a single man devising so many astounding deeds in one day</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.49	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="49"> as many as Hektor who is dear <note>philos</note> to Zeus has done to the sons of theAchaeans,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.50	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="50"> just as he is, neither the beloved <note>philos</note> son of a goddess nor of a god. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.51	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="51"> How many deeds he has accomplished I say will be on the mind of the Argives</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.52	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="52"> for a long time into the future. For he has masterminded <note>mêtis</note> so many evilsagainst the Achaeans.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.53	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="53"> But go now and call Ajax and Idomeneus,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.54	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="54"> running swiftly alongside the ships. And I to radiant Nestor</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.55	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="55"> will go, and I will stir him to get up, if he is willing </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.56	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="56"> to go to the sacred post <note>telos</note> of the watchmen and give commands.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.57	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="57"> Him they would especially heed. For his son</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.58	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="58"> gives the signals <note>sêma</note> to the watchmen, together with the attendant<note>therapôn</note> of Idomeneus,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.59	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="59"> Meriones. We have turned to them most of all.” </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.60	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="60"> Menelaos well-known for <note>agathos</note> his battle-cry then answered him,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.61	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="61"> “What do you command with your words <note>muthos</note> and what are you telling me todo?</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.62	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="62"> Should I stay out there among the watchmen and wait until you come,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.63	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="63"> or should I run back after you, once I have duly commanded them?”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.64	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="64"> Then in turn the lord of men Agamemnon addressed him,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.65	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="65"> “Wait there, so that we don’t somehow miss each other </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.66	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="66"> coming and going. For there are many paths throughout the encamped mass of warriors.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.67	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="67"> Call out wherever you go, and command them to wake up,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.68	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="68"> naming each man together with the names of his ancestry and family,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.69	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="69"> conferring radiant glory <note>kudos</note> on all of them. Don’t be too proud in your heart<note>thumos</note>,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.70	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="70"> but let’s even us perform this labor <note>ponos</note>. For surely on us </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.71	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="71"> Zeus sent this heavy evil when we were born.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.72	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="72"> So he spoke and he sent away his brother having duly commanded him.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.73	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="73"> He set out to go after Nestor, the shepherd of the warriors. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.74	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="74"> He found him next to his shelter and the black ship</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.75	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="75"> on a soft bed. His intricately patterned <note>poikilos</note> war gear lay beside him, </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.76	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="76"> a shield and two spears and a shining helmet.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.77	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="77"> Also next to him lay a belt that gleamed all over, which the old man</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.78	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="78"> used to wear, whenever he armed himself for battle that brings death to men,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.79	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="79"> leading the warriors, since he did not yield before woeful old age. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.80	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="80"> Raising himself up on his elbow and lifting his head </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.81	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="81"> he addressed the son of Atreus and questioned him with his words <note>muthos</note>.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.82	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="82"> “Who are you, coming along the ships among the encamped mass of warriors all alone</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.83	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="83"> through the dark night, when other mortals are sleeping?</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.84	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="84"> Are you looking for one of your mules or one of your comrades?</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.85	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="85"> Call out—don’t come up on me in silence. What need has come upon you?” </l>
