ORCA_URN	AnalyzedText	Analysis	textDeformation
urn:cite2:hmt:signoccurr.v1:49	urn:cts:greekLit:tlg0012.tlg001.msA:1.203	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:50	urn:cts:greekLit:tlg0012.tlg001.msA:1.204	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:51	urn:cts:greekLit:tlg0012.tlg001.msA:1.208	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:52	urn:cts:greekLit:tlg0012.tlg001.msA:1.208	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:53	urn:cts:greekLit:tlg0012.tlg001.msA:1.209	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:54	urn:cts:greekLit:tlg0012.tlg001.msA:1.209	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:55	urn:cts:greekLit:tlg0012.tlg001.msA:1.249	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:56	urn:cts:greekLit:tlg0012.tlg001.msA:1.251	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:57	urn:cts:greekLit:tlg0012.tlg001.msA:1.260	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:58	urn:cts:greekLit:tlg0012.tlg001.msA:1.262	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:59	urn:cts:greekLit:tlg0012.tlg001.msA:1.270	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:60	urn:cts:greekLit:tlg0012.tlg001.msA:1.271	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:61	urn:cts:greekLit:tlg0012.tlg001.msA:1.272	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:62	urn:cts:greekLit:tlg0012.tlg001.msA:1.275	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:63	urn:cts:greekLit:tlg0012.tlg001.msA:1.291	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:64	urn:cts:greekLit:tlg0012.tlg001.msA:1.295	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:65	urn:cts:greekLit:tlg0012.tlg001.msA:1.299	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:66	urn:cts:greekLit:tlg0012.tlg001.msA:1.305	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:67	urn:cts:greekLit:tlg0012.tlg001.msA:1.307	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:68	urn:cts:greekLit:tlg0012.tlg001.msA:1.310	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:69	urn:cts:greekLit:tlg0012.tlg001.msA:1.320	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:70	urn:cts:greekLit:tlg0012.tlg001.msA:1.330	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:71	urn:cts:greekLit:tlg0012.tlg001.msA:1.336	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:72	urn:cts:greekLit:tlg0012.tlg001.msA:1.338	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:73	urn:cts:greekLit:tlg0012.tlg001.msA:1.340	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:74	urn:cts:greekLit:tlg0012.tlg001.msA:1.351	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:75	urn:cts:greekLit:tlg0012.tlg001.msA:1.364	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:76	urn:cts:greekLit:tlg0012.tlg001.msA:1.365	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:77	urn:cts:greekLit:tlg0012.tlg001.msA:1.366	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:78	urn:cts:greekLit:tlg0012.tlg001.msA:1.367	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:79	urn:cts:greekLit:tlg0012.tlg001.msA:1.368	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:80	urn:cts:greekLit:tlg0012.tlg001.msA:1.369	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:81	urn:cts:greekLit:tlg0012.tlg001.msA:1.370	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:82	urn:cts:greekLit:tlg0012.tlg001.msA:1.371	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:83	urn:cts:greekLit:tlg0012.tlg001.msA:1.372	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:84	urn:cts:greekLit:tlg0012.tlg001.msA:1.372	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:85	urn:cts:greekLit:tlg0012.tlg001.msA:1.373	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:86	urn:cts:greekLit:tlg0012.tlg001.msA:1.373	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:87	urn:cts:greekLit:tlg0012.tlg001.msA:1.374	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:88	urn:cts:greekLit:tlg0012.tlg001.msA:1.374	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:89	urn:cts:greekLit:tlg0012.tlg001.msA:1.375	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:90	urn:cts:greekLit:tlg0012.tlg001.msA:1.375	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:91	urn:cts:greekLit:tlg0012.tlg001.msA:1.376	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:92	urn:cts:greekLit:tlg0012.tlg001.msA:1.376	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:93	urn:cts:greekLit:tlg0012.tlg001.msA:1.377	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:94	urn:cts:greekLit:tlg0012.tlg001.msA:1.377	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:95	urn:cts:greekLit:tlg0012.tlg001.msA:1.378	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:96	urn:cts:greekLit:tlg0012.tlg001.msA:1.378	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:97	urn:cts:greekLit:tlg0012.tlg001.msA:1.379	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:98	urn:cts:greekLit:tlg0012.tlg001.msA:1.379	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:99	urn:cts:greekLit:tlg0012.tlg001.msA:1.380	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:100	urn:cts:greekLit:tlg0012.tlg001.msA:1.381	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:101	urn:cts:greekLit:tlg0012.tlg001.msA:1.382	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:102	urn:cts:greekLit:tlg0012.tlg001.msA:1.383	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:103	urn:cts:greekLit:tlg0012.tlg001.msA:1.384	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:104	urn:cts:greekLit:tlg0012.tlg001.msA:1.385	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:105	urn:cts:greekLit:tlg0012.tlg001.msA:1.386	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:106	urn:cts:greekLit:tlg0012.tlg001.msA:1.387	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:107	urn:cts:greekLit:tlg0012.tlg001.msA:1.388	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:108	urn:cts:greekLit:tlg0012.tlg001.msA:1.389	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:109	urn:cts:greekLit:tlg0012.tlg001.msA:1.390	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:110	urn:cts:greekLit:tlg0012.tlg001.msA:1.391	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:111	urn:cts:greekLit:tlg0012.tlg001.msA:1.392	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:112	urn:cts:greekLit:tlg0012.tlg001.msA:1.393	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:113	urn:cts:greekLit:tlg0012.tlg001.msA:1.402	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:114	urn:cts:greekLit:tlg0012.tlg001.msA:1.403	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:115	urn:cts:greekLit:tlg0012.tlg001.msA:1.404	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:116	urn:cts:greekLit:tlg0012.tlg001.msA:1.405	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:117	urn:cts:greekLit:tlg0012.tlg001.msA:1.412	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:118	urn:cts:greekLit:tlg0012.tlg001.msA:1.424	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:119	urn:cts:greekLit:tlg0012.tlg001.msA:1.425	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:120	urn:cts:greekLit:tlg0012.tlg001.msA:1.429	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:121	urn:cts:greekLit:tlg0012.tlg001.msA:1.443	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:122	urn:cts:greekLit:tlg0012.tlg001.msA:1.444	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:123	urn:cts:greekLit:tlg0012.tlg001.msA:1.454	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:124	urn:cts:greekLit:tlg0012.tlg001.msA:1.459	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:125	urn:cts:greekLit:tlg0012.tlg001.msA:1.461	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:126	urn:cts:greekLit:tlg0012.tlg001.msA:1.467	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:127	urn:cts:greekLit:tlg0012.tlg001.msA:1.472	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:128	urn:cts:greekLit:tlg0012.tlg001.msA:1.473	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:129	urn:cts:greekLit:tlg0012.tlg001.msA:1.474	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:130	urn:cts:greekLit:tlg0012.tlg001.msA:1.477	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:131	urn:cts:greekLit:tlg0012.tlg001.msA:1.493	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:132	urn:cts:greekLit:tlg0012.tlg001.msA:1.497	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:133	urn:cts:greekLit:tlg0012.tlg001.msA:1.526	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:134	urn:cts:greekLit:tlg0012.tlg001.msA:1.530	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:135	urn:cts:greekLit:tlg0012.tlg001.msA:1.564	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:136	urn:cts:greekLit:tlg0012.tlg001.msA:1.567	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:137	urn:cts:greekLit:tlg0012.tlg001.msA:1.572	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:138	urn:cts:greekLit:tlg0012.tlg001.msA:1.578	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:139	urn:cts:greekLit:tlg0012.tlg001.msA:2.2	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:140	urn:cts:greekLit:tlg0012.tlg001.msA:2.6	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:141	urn:cts:greekLit:tlg0012.tlg001.msA:2.8	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:142	urn:cts:greekLit:tlg0012.tlg001.msA:2.10	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:143	urn:cts:greekLit:tlg0012.tlg001.msA:2.27	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:144	urn:cts:greekLit:tlg0012.tlg001.msA:2.27	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:145	urn:cts:greekLit:tlg0012.tlg001.msA:2.36	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:146	urn:cts:greekLit:tlg0012.tlg001.msA:2.41	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:147	urn:cts:greekLit:tlg0012.tlg001.msA:2.45	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:148	urn:cts:greekLit:tlg0012.tlg001.msA:2.49	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:149	urn:cts:greekLit:tlg0012.tlg001.msA:2.55	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:150	urn:cts:greekLit:tlg0012.tlg001.msA:2.56	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:151	urn:cts:greekLit:tlg0012.tlg001.msA:2.64	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:152	urn:cts:greekLit:tlg0012.tlg001.msA:2.64	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:153	urn:cts:greekLit:tlg0012.tlg001.msA:2.70	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:154	urn:cts:greekLit:tlg0012.tlg001.msA:2.76	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:155	urn:cts:greekLit:tlg0012.tlg001.msA:2.77	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:156	urn:cts:greekLit:tlg0012.tlg001.msA:2.78	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:157	urn:cts:greekLit:tlg0012.tlg001.msA:2.79	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:158	urn:cts:greekLit:tlg0012.tlg001.msA:2.80	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:159	urn:cts:greekLit:tlg0012.tlg001.msA:2.81	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:160	urn:cts:greekLit:tlg0012.tlg001.msA:2.82	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:161	urn:cts:greekLit:tlg0012.tlg001.msA:2.87	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:162	urn:cts:greekLit:tlg0012.tlg001.msA:2.89	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:163	urn:cts:greekLit:tlg0012.tlg001.msA:2.93	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:164	urn:cts:greekLit:tlg0012.tlg001.msA:2.106	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:165	urn:cts:greekLit:tlg0012.tlg001.msA:2.107	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:166	urn:cts:greekLit:tlg0012.tlg001.msA:2.108	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:167	urn:cts:greekLit:tlg0012.tlg001.msA:2.109	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:168	urn:cts:greekLit:tlg0012.tlg001.msA:2.110	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:169	urn:cts:greekLit:tlg0012.tlg001.msA:2.111	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:170	urn:cts:greekLit:tlg0012.tlg001.msA:2.115	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:171	urn:cts:greekLit:tlg0012.tlg001.msA:2.116	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:172	urn:cts:greekLit:tlg0012.tlg001.msA:2.116	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:173	urn:cts:greekLit:tlg0012.tlg001.msA:2.119	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:174	urn:cts:greekLit:tlg0012.tlg001.msA:2.122	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:175	urn:cts:greekLit:tlg0012.tlg001.msA:2.124	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:176	urn:cts:greekLit:tlg0012.tlg001.msA:2.125	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:177	urn:cts:greekLit:tlg0012.tlg001.msA:2.130	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:178	urn:cts:greekLit:tlg0012.tlg001.msA:2.131	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:179	urn:cts:greekLit:tlg0012.tlg001.msA:2.132	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:180	urn:cts:greekLit:tlg0012.tlg001.msA:2.133	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:181	urn:cts:greekLit:tlg0012.tlg001.msA:2.143	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:182	urn:cts:greekLit:tlg0012.tlg001.msA:2.144	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:183	urn:cts:greekLit:tlg0012.tlg001.msA:2.148	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:184	urn:cts:greekLit:tlg0012.tlg001.msA:2.160	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:185	urn:cts:greekLit:tlg0012.tlg001.msA:2.160	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:186	urn:cts:greekLit:tlg0012.tlg001.msA:2.161	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:187	urn:cts:greekLit:tlg0012.tlg001.msA:2.161	urn:cite2:hmt:critsign:asteriskos	TBA
